equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Stade Rochelais,1,50 %,61 %,67 %,40 %,65 %,12,0,8,4,10,8,1,0,3,9,66,2,27,23,125,16 ,Stade Toulousain,2021-09-05 21:05:00
Stade Toulousain,1,50 %,39 %,33 %,60 %,35 %,2,0,2,0,11,10,1,4,5,14,105,0,9,26,81, 20,Stade Rochelais,2021-09-05 21:05:00
ASM Clermont,3,50 %,45 %,39 %,56 %,46 %,3,0,3,0,18,18,0,4,3,15,107,8,13,21,114,30 ,Castres Olympique,2021-09-11 15:00:00
Castres Olympique,3,50 %,55 %,61 %,44 %,54 %,9,2,5,2,12,11,0,2,4,13,115,9,19,16,85, 34,ASM Clermont,2021-09-11 15:00:00
Montpellier Hérault Rugby,5,50 %,44 %,45 %,56 %,44 %,8,1,6,1,11,8,0,6,2,10,139,7,13,25,121,39 ,CA Brive,2021-09-11 15:00:00
CA Brive,3,50 %,56 %,55 %,44 %,56 %,12,0,11,1,15,14,3,2,0,9,98,0,20,19,142, 17,Montpellier Hérault Rugby,2021-09-11 15:00:00
Section Paloise,0,50 %,43 %,67 %,57 %,44 %,11,1,7,3,10,8,1,1,6,10,127,4,14,33,85,21 ,LOU Rugby,2021-09-11 15:00:00
LOU Rugby,1,50 %,57 %,33 %,43 %,56 %,3,1,2,0,15,12,1,6,4,13,72,1,12,20,136, 17,Section Paloise,2021-09-11 15:00:00
USA Perpignan,3,50 %,48 %,40 %,52 %,49 %,6,0,6,0,11,10,1,0,3,18,108,3,18,29,96,33 ,Biarritz Olympique PB,2021-09-11 15:00:00
Biarritz Olympique PB,2,50 %,52 %,60 %,48 %,51 %,3,0,2,1,19,15,0,3,2,9,105,0,14,21,92, 20,USA Perpignan,2021-09-11 15:00:00
Union Bordeaux-Bègles,4,50 %,60 %,84 %,42 %,63 %,12,1,10,1,11,9,0,4,3,8,78,3,7,31,142,37 ,Stade Français Paris,2021-09-11 17:15:00
Stade Français Paris,1,50 %,40 %,16 %,58 %,37 %,6,0,6,0,14,12,1,8,1,7,97,2,24,24,111, 10,Union Bordeaux-Bègles,2021-09-11 17:15:00
Racing 92,1,50 %,45 %,45 %,55 %,45 %,9,3,6,0,9,9,2,2,3,13,153,7,30,21,84,23 ,Stade Rochelais,2021-09-11 21:05:00
Stade Rochelais,1,50 %,55 %,55 %,45 %,55 %,12,3,7,2,15,13,0,7,1,11,81,4,14,19,177, 10,Racing 92,2021-09-11 21:05:00
Stade Toulousain,6,50 %,52 %,56 %,47 %,50 %,8,0,7,1,17,17,2,3,1,10,68,0,8,26,149,41 ,RC Toulon,2021-09-12 21:05:00
RC Toulon,1,50 %,48 %,44 %,53 %,50 %,8,0,8,0,13,7,0,4,1,10,99,5,23,25,99, 10,Stade Toulousain,2021-09-12 21:05:00
Biarritz Olympique PB,1,50 %,38 %,45 %,61 %,39 %,9,3,4,2,13,9,1,3,7,10,93,1,16,34,71,28 ,Racing 92,2021-09-18 15:00:00
Racing 92,3,50 %,62 %,55 %,39 %,61 %,4,0,4,0,18,15,2,2,0,17,58,5,5,21,103, 19,Biarritz Olympique PB,2021-09-18 15:00:00
CA Brive,4,50 %,46 %,41 %,54 %,45 %,3,1,2,0,16,12,3,1,2,18,147,7,21,28,75,30 ,Section Paloise,2021-09-18 15:00:00
Section Paloise,1,50 %,54 %,59 %,46 %,55 %,8,1,7,0,14,11,0,3,2,12,101,3,21,25,133, 13,CA Brive,2021-09-18 15:00:00
Castres Olympique,2,50 %,51 %,32 %,49 %,50 %,6,0,5,1,17,8,0,4,3,11,108,2,14,27,84,23 ,Union Bordeaux-Bègles,2021-09-18 15:00:00
Union Bordeaux-Bègles,2,50 %,49 %,68 %,51 %,50 %,5,4,1,0,7,7,9,3,2,16,77,1,21,35,79, 23,Castres Olympique,2021-09-18 15:00:00
LOU Rugby,7,50 %,47 %,33 %,53 %,47 %,5,0,5,0,16,13,0,5,0,15,101,5,17,27,167,47 ,USA Perpignan,2021-09-18 15:00:00
USA Perpignan,0,50 %,53 %,67 %,47 %,53 %,7,1,5,1,18,17,1,2,1,11,108,0,38,20,113, 3,LOU Rugby,2021-09-18 15:00:00
Montpellier Hérault Rugby,2,50 %,60 %,56 %,40 %,61 %,7,1,5,1,14,12,1,6,1,9,87,5,5,35,114,15 ,Stade Toulousain,2021-09-18 17:00:00
Stade Toulousain,2,50 %,40 %,44 %,60 %,39 %,11,0,10,1,12,9,1,2,1,12,130,2,15,26,109, 17,Montpellier Hérault Rugby,2021-09-18 17:00:00
ASM Clermont,2,50 %,48 %,41 %,50 %,47 %,7,1,5,1,13,12,0,2,3,13,87,3,13,27,69,23 ,Stade Rochelais,2021-09-18 21:05:00
Stade Rochelais,1,50 %,52 %,59 %,50 %,53 %,3,0,3,0,15,12,1,2,5,10,78,3,16,30,62, 22,ASM Clermont,2021-09-18 21:05:00
RC Toulon,5,50 %,57 %,73 %,43 %,57 %,11,2,7,2,23,19,1,5,1,6,117,6,21,16,143,38 ,Stade Français Paris,2021-09-19 21:05:00
Stade Français Paris,1,50 %,43 %,27 %,57 %,43 %,8,3,4,1,11,8,2,5,0,18,90,3,19,20,173, 5,RC Toulon,2021-09-19 21:05:00
Union Bordeaux-Bègles,3,50 %,66 %,79 %,35 %,70 %,8,1,7,0,14,12,0,8,4,8,67,2,6,22,143,29 ,CA Brive,2021-09-25 15:00:00
CA Brive,1,50 %,34 %,21 %,65 %,30 %,11,1,8,2,12,8,1,2,1,16,108,4,23,19,57, 10,Union Bordeaux-Bègles,2021-09-25 15:00:00
Section Paloise,2,50 %,52 %,54 %,48 %,52 %,8,1,5,2,12,10,2,4,3,10,126,1,18,29,134,23 ,Montpellier Hérault Rugby,2021-09-25 15:00:00
Montpellier Hérault Rugby,4,50 %,48 %,46 %,52 %,48 %,8,1,6,1,10,6,1,2,0,10,132,3,12,17,120, 22,Section Paloise,2021-09-25 15:00:00
Stade Français Paris,2,50 %,39 %,27 %,62 %,40 %,9,2,7,0,6,5,3,2,5,10,115,4,15,35,91,34 ,Castres Olympique,2021-09-25 15:00:00
Castres Olympique,1,50 %,61 %,73 %,38 %,60 %,9,1,5,3,17,13,1,4,1,12,80,0,10,23,127, 10,Stade Français Paris,2021-09-25 15:00:00
Stade Rochelais,8,50 %,57 %,61 %,42 %,57 %,6,0,5,1,15,14,1,6,0,10,124,9,7,22,144,59 ,Biarritz Olympique PB,2021-09-25 15:00:00
Biarritz Olympique PB,1,50 %,43 %,39 %,58 %,43 %,11,1,7,3,11,9,0,4,1,13,127,2,25,17,113, 17,Stade Rochelais,2021-09-25 15:00:00
Racing 92,3,50 %,42 %,45 %,58 %,43 %,7,2,5,0,18,17,2,3,1,16,142,1,33,24,127,24 ,LOU Rugby,2021-09-25 17:00:00
LOU Rugby,2,50 %,58 %,55 %,42 %,57 %,10,0,9,1,14,12,0,5,2,11,97,0,11,25,111, 20,Racing 92,2021-09-25 17:00:00
USA Perpignan,0,50 %,61 %,83 %,39 %,65 %,10,3,5,2,13,11,1,5,4,8,40,3,10,27,88,12 ,RC Toulon,2021-09-25 21:00:00
RC Toulon,0,50 %,39 %,17 %,61 %,35 %,10,3,7,0,9,6,0,5,3,10,98,0,14,27,60, 9,USA Perpignan,2021-09-25 21:00:00
Stade Toulousain,3,50 %,34 %,33 %,67 %,38 %,7,1,6,0,7,7,3,2,2,13,153,9,33,25,99,27 ,ASM Clermont,2021-09-26 21:05:00
ASM Clermont,2,50 %,66 %,67 %,33 %,62 %,3,0,3,0,20,11,0,6,0,8,66,3,23,22,185, 15,Stade Toulousain,2021-09-26 21:05:00
CA Brive,1,50 %,44 %,85 %,57 %,44 %,11,1,7,3,9,6,0,2,4,13,100,1,23,26,87,19 ,Stade Français Paris,2021-10-02 15:00:00
Stade Français Paris,0,50 %,56 %,15 %,43 %,56 %,7,0,5,2,13,11,0,4,4,9,96,1,11,23,133, 12,CA Brive,2021-10-02 15:00:00
LOU Rugby,0,50 %,51 %,60 %,49 %,51 %,6,0,6,0,16,14,1,3,5,11,63,5,15,27,129,15 ,Union Bordeaux-Bègles,2021-10-02 15:00:00
Union Bordeaux-Bègles,2,50 %,49 %,40 %,51 %,49 %,6,1,4,1,13,10,1,3,2,15,121,6,22,23,87, 20,LOU Rugby,2021-10-02 15:00:00
Montpellier Hérault Rugby,0,50 %,52 %,62 %,48 %,52 %,12,0,12,0,10,6,1,4,7,12,119,4,16,27,90,21 ,Stade Rochelais,2021-10-02 15:00:00
Stade Rochelais,1,50 %,48 %,38 %,52 %,48 %,9,2,6,1,12,8,2,6,2,13,107,6,14,13,117, 11,Montpellier Hérault Rugby,2021-10-02 15:00:00
USA Perpignan,1,50 %,51 %,57 %,49 %,50 %,7,3,4,0,14,11,0,5,3,15,80,1,12,21,106,14 ,Section Paloise,2021-10-02 15:00:00
Section Paloise,3,50 %,49 %,43 %,51 %,50 %,7,0,6,1,11,10,1,4,4,8,96,4,22,21,80, 29,USA Perpignan,2021-10-02 15:00:00
Biarritz Olympique PB,1,50 %,57 %,71 %,43 %,58 %,7,1,5,1,20,18,3,6,1,8,58,0,23,21,145,11 ,Stade Toulousain,2021-10-02 17:00:00
Stade Toulousain,2,50 %,43 %,29 %,57 %,42 %,7,1,6,0,8,5,2,2,1,16,104,5,12,17,106, 17,Biarritz Olympique PB,2021-10-02 17:00:00
Castres Olympique,2,50 %,50 %,54 %,51 %,49 %,12,2,8,2,12,9,2,4,2,17,90,5,8,8,118,27 ,RC Toulon,2021-10-02 21:05:00
RC Toulon,1,50 %,50 %,46 %,49 %,51 %,9,3,6,0,13,8,0,2,3,17,102,3,21,11,81, 16,Castres Olympique,2021-10-02 21:05:00
ASM Clermont,1,50 %,53 %,73 %,45 %,54 %,6,0,5,1,15,11,0,3,7,6,43,0,5,27,167,26 ,Racing 92,2021-10-03 21:05:00
Racing 92,2,50 %,47 %,27 %,55 %,46 %,8,3,3,2,15,14,2,2,1,14,155,3,38,26,37, 17,ASM Clermont,2021-10-03 21:05:00
Biarritz Olympique PB,1,50 %,47 %,37 %,55 %,47 %,3,0,3,0,14,9,3,1,0,12,93,5,12,18,159,5 ,LOU Rugby,2021-10-09 15:00:00
LOU Rugby,6,50 %,53 %,63 %,45 %,53 %,11,0,9,2,12,9,2,2,0,14,130,2,16,28,118, 40,Biarritz Olympique PB,2021-10-09 15:00:00
Union Bordeaux-Bègles,4,50 %,43 %,46 %,58 %,44 %,5,0,5,0,13,9,1,3,1,14,169,8,23,21,110,27 ,Montpellier Hérault Rugby,2021-10-09 15:00:00
Montpellier Hérault Rugby,2,50 %,57 %,54 %,42 %,56 %,9,1,6,2,17,14,2,1,3,9,114,0,17,30,136, 23,Union Bordeaux-Bègles,2021-10-09 15:00:00
Racing 92,2,50 %,59 %,54 %,42 %,61 %,5,0,5,0,22,18,4,5,1,7,74,0,7,24,154,17 ,USA Perpignan,2021-10-09 15:00:00
USA Perpignan,2,50 %,41 %,46 %,58 %,39 %,10,0,10,0,18,11,4,1,0,17,95,2,17,27,89, 14,Racing 92,2021-10-09 15:00:00
Stade Rochelais,2,50 %,46 %,54 %,54 %,45 %,7,2,5,0,18,17,1,2,5,9,107,8,12,26,151,29 ,Castres Olympique,2021-10-09 15:00:00
Castres Olympique,1,50 %,54 %,46 %,46 %,55 %,4,1,2,1,12,11,0,4,1,13,100,5,20,24,102, 10,Stade Rochelais,2021-10-09 15:00:00
Stade Toulousain,5,50 %,61 %,67 %,39 %,60 %,9,1,7,1,16,16,1,4,1,10,74,6,21,17,164,38 ,Section Paloise,2021-10-09 17:00:00
Section Paloise,1,50 %,39 %,33 %,61 %,40 %,4,0,4,0,11,8,0,4,1,14,132,1,45,21,90, 10,Stade Toulousain,2021-10-09 17:00:00
RC Toulon,1,50 %,59 %,72 %,41 %,61 %,12,1,9,2,18,12,0,3,2,6,48,0,8,30,129,13 ,CA Brive,2021-10-09 21:05:00
CA Brive,0,50 %,41 %,28 %,59 %,39 %,8,1,5,2,10,8,2,4,3,11,115,2,18,28,45, 9,RC Toulon,2021-10-09 21:05:00
Stade Français Paris,2,50 %,49 %,51 %,51 %,49 %,6,3,2,1,14,14,1,3,4,9,127,8,19,35,122,22 ,ASM Clermont,2021-10-10 21:05:00
ASM Clermont,1,50 %,51 %,49 %,49 %,51 %,7,3,3,1,11,7,0,2,3,10,123,3,24,23,113, 14,Stade Français Paris,2021-10-10 21:05:00
CA Brive,0,50 %,47 %,48 %,53 %,48 %,5,1,4,0,17,13,3,3,2,15,131,3,11,26,78,6 ,Stade Rochelais,2021-10-16 15:00:00
Stade Rochelais,1,50 %,53 %,52 %,47 %,52 %,9,1,8,0,17,12,0,4,1,10,76,1,11,28,165, 8,CA Brive,2021-10-16 15:00:00
Castres Olympique,6,50 %,69 %,60 %,29 %,65 %,5,2,3,0,15,14,0,4,0,14,83,2,18,22,145,38 ,Biarritz Olympique PB,2021-10-16 15:00:00
Biarritz Olympique PB,2,50 %,31 %,40 %,71 %,35 %,7,0,6,1,15,12,1,1,2,8,126,1,27,23,118, 20,Castres Olympique,2021-10-16 15:00:00
Section Paloise,3,50 %,40 %,42 %,61 %,42 %,11,1,6,4,11,9,0,0,4,13,88,2,23,13,103,33 ,Union Bordeaux-Bègles,2021-10-16 15:00:00
Union Bordeaux-Bègles,4,50 %,60 %,58 %,39 %,58 %,3,1,0,2,14,14,1,4,3,12,73,0,19,13,103, 37,Section Paloise,2021-10-16 15:00:00
USA Perpignan,1,50 %,56 %,64 %,45 %,56 %,6,1,3,2,19,12,0,3,4,14,94,8,17,24,112,22 ,Stade Français Paris,2021-10-16 15:00:00
Stade Français Paris,2,50 %,44 %,36 %,55 %,44 %,4,0,3,1,10,10,6,3,3,10,98,6,7,30,124, 23,USA Perpignan,2021-10-16 15:00:00
Montpellier Hérault Rugby,1,50 %,50 %,38 %,45 %,51 %,9,1,7,1,15,12,0,1,5,12,161,3,15,22,147,20 ,ASM Clermont,2021-10-16 17:00:00
ASM Clermont,1,50 %,50 %,62 %,55 %,49 %,2,0,2,0,10,8,2,6,5,13,102,1,11,27,160, 22,Montpellier Hérault Rugby,2021-10-16 17:00:00
RC Toulon,2,50 %,52 %,62 %,48 %,53 %,10,2,6,2,10,9,4,3,2,9,113,2,15,19,159,20 ,Racing 92,2021-10-16 21:05:00
Racing 92,2,50 %,48 %,38 %,52 %,47 %,6,0,5,1,12,8,0,5,5,11,132,3,27,24,131, 27,RC Toulon,2021-10-16 21:05:00
LOU Rugby,3,50 %,49 %,58 %,51 %,48 %,4,0,3,1,12,10,2,4,2,10,162,8,10,29,119,25 ,Stade Toulousain,2021-10-17 21:05:00
Stade Toulousain,1,50 %,51 %,42 %,49 %,52 %,8,1,5,2,15,12,0,1,4,9,148,2,27,19,176, 19,LOU Rugby,2021-10-17 21:05:00
ASM Clermont,5,50 %,52 %,45 %,48 %,52 %,6,0,5,1,16,14,2,4,3,8,121,5,15,17,160,42 ,Section Paloise,2021-10-23 15:00:00
Section Paloise,2,50 %,48 %,55 %,52 %,48 %,4,0,3,1,15,10,1,2,2,13,140,8,20,16,118, 20,ASM Clermont,2021-10-23 15:00:00
Biarritz Olympique PB,5,50 %,49 %,84 %,49 %,50 %,8,0,7,1,12,10,1,3,2,14,70,2,16,24,129,37 ,CA Brive,2021-10-23 15:00:00
CA Brive,0,50 %,51 %,16 %,51 %,50 %,6,0,6,0,9,7,1,4,3,15,121,5,15,17,95, 9,Biarritz Olympique PB,2021-10-23 15:00:00
Union Bordeaux-Bègles,4,50 %,57 %,60 %,44 %,54 %,7,1,5,1,20,16,3,3,2,11,93,4,10,17,161,39 ,USA Perpignan,2021-10-23 15:00:00
USA Perpignan,1,50 %,43 %,40 %,56 %,46 %,9,0,7,2,11,7,2,4,2,17,111,3,33,21,90, 13,Union Bordeaux-Bègles,2021-10-23 15:00:00
Stade Français Paris,2,50 %,40 %,46 %,60 %,41 %,8,0,7,1,10,8,1,1,3,15,118,6,24,27,85,23 ,LOU Rugby,2021-10-23 15:00:00
LOU Rugby,2,50 %,60 %,54 %,40 %,59 %,3,1,1,1,15,12,0,3,2,12,86,2,17,23,119, 18,Stade Français Paris,2021-10-23 15:00:00
Racing 92,2,50 %,51 %,54 %,49 %,51 %,6,3,3,0,16,11,1,2,0,11,117,5,9,17,176,21 ,Montpellier Hérault Rugby,2021-10-23 17:00:00
Montpellier Hérault Rugby,2,50 %,49 %,46 %,51 %,49 %,6,2,4,0,11,7,4,3,6,9,141,3,22,29,84, 32,Racing 92,2021-10-23 17:00:00
Stade Toulousain,5,50 %,45 %,53 %,56 %,45 %,8,0,7,1,10,8,0,2,2,6,132,0,11,27,108,41 ,Castres Olympique,2021-10-23 21:00:00
Castres Olympique,0,50 %,55 %,47 %,44 %,55 %,7,1,6,0,14,12,1,3,0,13,91,1,27,23,86, 0,Stade Toulousain,2021-10-23 21:00:00
Stade Rochelais,5,50 %,53 %,55 %,47 %,55 %,7,2,4,1,14,10,2,5,2,12,113,4,12,22,127,39 ,RC Toulon,2021-10-24 21:05:00
RC Toulon,0,50 %,47 %,45 %,53 %,45 %,7,2,5,0,9,4,2,2,2,12,100,5,30,21,116, 6,Stade Rochelais,2021-10-24 21:05:00
Castres Olympique,2,50 %,72 %,64 %,26 %,69 %,7,1,5,1,19,13,0,6,3,12,59,2,8,13,130,23 ,CA Brive,2021-10-30 15:00:00
CA Brive,1,50 %,28 %,36 %,74 %,31 %,14,4,7,3,8,5,1,1,5,13,111,0,16,20,53, 22,Castres Olympique,2021-10-30 15:00:00
RC Toulon,1,50 %,57 %,65 %,44 %,57 %,8,1,7,0,18,14,1,3,2,9,70,7,14,36,44,13 ,Biarritz Olympique PB,2021-10-30 15:00:00
Biarritz Olympique PB,0,50 %,43 %,35 %,56 %,43 %,6,2,3,1,13,10,2,3,3,17,64,4,9,33,86, 9,RC Toulon,2021-10-30 15:00:00
Section Paloise,0,50 %,59 %,55 %,41 %,64 %,6,2,4,0,11,9,0,5,6,9,68,5,7,41,130,18 ,Stade Français Paris,2021-10-30 15:00:00
Stade Français Paris,0,50 %,41 %,45 %,59 %,36 %,8,2,5,1,14,12,1,0,3,12,135,4,19,34,74, 9,Section Paloise,2021-10-30 15:00:00
USA Perpignan,3,50 %,36 %,31 %,64 %,35 %,10,0,8,2,14,10,1,2,1,8,149,1,33,21,79,22 ,Stade Rochelais,2021-10-30 15:00:00
Stade Rochelais,2,50 %,64 %,69 %,36 %,65 %,3,0,2,1,12,10,1,4,1,16,50,1,12,11,219, 13,USA Perpignan,2021-10-30 15:00:00
Montpellier Hérault Rugby,1,50 %,51 %,67 %,50 %,51 %,10,0,8,2,18,13,3,2,3,15,122,4,22,40,78,30 ,LOU Rugby,2021-10-30 17:00:00
LOU Rugby,1,50 %,49 %,33 %,50 %,49 %,7,0,7,0,15,8,4,2,1,18,88,3,17,28,109, 8,Montpellier Hérault Rugby,2021-10-30 17:00:00
Union Bordeaux-Bègles,3,50 %,59 %,60 %,41 %,61 %,4,0,3,1,22,18,4,3,1,14,67,7,9,30,104,25 ,ASM Clermont,2021-10-30 21:05:00
ASM Clermont,0,50 %,41 %,40 %,59 %,39 %,6,0,6,0,17,13,1,2,3,14,141,5,14,29,92, 9,Union Bordeaux-Bègles,2021-10-30 21:05:00
Racing 92,3,50 %,50 %,53 %,49 %,49 %,4,0,4,0,20,15,0,3,2,9,119,1,21,25,108,27 ,Stade Toulousain,2021-10-31 21:05:00
Stade Toulousain,2,50 %,50 %,47 %,51 %,51 %,5,0,4,1,16,13,2,3,2,13,74,0,20,22,162, 18,Racing 92,2021-10-31 21:05:00
Stade Rochelais,2,50 %,59 %,78 %,41 %,59 %,9,2,6,1,17,12,0,1,4,12,70,3,3,19,155,26 ,Union Bordeaux-Bègles,2021-11-05 21:00:00
Union Bordeaux-Bègles,0,50 %,41 %,22 %,59 %,41 %,5,1,4,0,15,15,3,2,1,16,116,7,24,22,96, 3,Stade Rochelais,2021-11-05 21:00:00
LOU Rugby,2,50 %,37 %,33 %,63 %,35 %,1,0,1,0,11,10,6,3,6,12,103,6,18,34,65,30 ,Castres Olympique,2021-11-06 14:45:00
Castres Olympique,2,50 %,63 %,67 %,37 %,65 %,17,3,9,5,18,11,0,1,3,10,56,1,14,29,87, 23,LOU Rugby,2021-11-06 14:45:00
Section Paloise,3,50 %,47 %,56 %,53 %,48 %,7,0,6,1,19,17,0,2,3,6,127,6,28,21,87,33 ,Biarritz Olympique PB,2021-11-06 14:45:00
Biarritz Olympique PB,3,50 %,53 %,44 %,47 %,52 %,4,1,3,0,10,8,0,3,0,18,90,1,16,16,149, 21,Section Paloise,2021-11-06 14:45:00
Stade Français Paris,4,50 %,49 %,54 %,50 %,49 %,7,0,5,2,10,7,4,1,1,14,124,1,14,22,132,27 ,Montpellier Hérault Rugby,2021-11-06 14:45:00
Montpellier Hérault Rugby,1,50 %,51 %,46 %,50 %,51 %,3,0,2,1,14,10,0,1,7,7,133,0,14,31,105, 31,Stade Français Paris,2021-11-06 14:45:00
Stade Toulousain,5,50 %,68 %,63 %,30 %,65 %,6,0,6,0,17,14,2,5,2,8,72,1,18,20,159,37 ,USA Perpignan,2021-11-06 14:45:00
USA Perpignan,2,50 %,32 %,37 %,70 %,35 %,7,3,3,1,16,11,2,2,1,16,140,12,34,23,94, 15,Stade Toulousain,2021-11-06 14:45:00
CA Brive,0,50 %,53 %,60 %,46 %,54 %,3,1,2,0,15,13,1,4,4,13,129,5,33,24,112,12 ,Racing 92,2021-11-06 17:00:00
Racing 92,1,50 %,47 %,40 %,54 %,46 %,10,0,8,2,10,8,0,0,1,13,101,6,15,24,157, 10,CA Brive,2021-11-06 17:00:00
ASM Clermont,4,50 %,55 %,71 %,45 %,55 %,6,1,4,1,22,21,1,4,3,8,86,5,12,29,143,31 ,RC Toulon,2021-11-07 21:05:00
RC Toulon,1,50 %,45 %,29 %,55 %,45 %,6,1,4,1,11,10,0,2,3,19,141,1,26,29,79, 16,ASM Clermont,2021-11-07 21:05:00
Biarritz Olympique PB,2,50 %,51 %,50 %,48 %,52 %,12,1,8,3,15,11,3,0,1,11,86,2,8,33,128,17 ,Stade Français Paris,2021-11-27 15:00:00
Stade Français Paris,1,50 %,49 %,50 %,52 %,48 %,2,0,2,0,13,7,1,3,3,11,136,4,20,33,72, 14,Biarritz Olympique PB,2021-11-27 15:00:00
Montpellier Hérault Rugby,3,50 %,33 %,49 %,68 %,35 %,11,1,8,2,11,10,2,3,2,9,161,1,22,28,55,25 ,Castres Olympique,2021-11-27 15:00:00
Castres Olympique,4,50 %,67 %,51 %,32 %,65 %,5,0,3,2,12,8,0,5,0,13,98,2,8,12,153, 24,Montpellier Hérault Rugby,2021-11-27 15:00:00
Stade Rochelais,5,50 %,59 %,60 %,42 %,58 %,5,0,4,1,14,12,0,7,1,12,116,1,16,18,213,36 ,Section Paloise,2021-11-27 15:00:00
Section Paloise,1,50 %,41 %,40 %,58 %,42 %,9,0,8,1,9,9,1,2,1,10,155,4,23,17,153, 8,Stade Rochelais,2021-11-27 15:00:00
USA Perpignan,2,50 %,44 %,38 %,56 %,44 %,8,1,6,1,11,11,3,3,4,14,101,0,17,20,119,26 ,ASM Clermont,2021-11-27 15:00:00
ASM Clermont,3,50 %,56 %,62 %,44 %,56 %,4,1,3,0,14,10,0,2,3,9,108,4,26,17,106, 24,USA Perpignan,2021-11-27 15:00:00
RC Toulon,1,50 %,48 %,53 %,51 %,49 %,11,0,8,3,14,10,1,5,4,7,91,2,17,33,112,19 ,LOU Rugby,2021-11-27 17:00:00
LOU Rugby,1,50 %,52 %,47 %,49 %,51 %,10,0,8,2,11,10,2,5,2,12,84,4,17,29,97, 13,RC Toulon,2021-11-27 17:00:00
Stade Toulousain,0,50 %,70 %,87 %,31 %,75 %,2,1,1,0,25,11,1,1,6,8,66,3,8,22,157,18 ,CA Brive,2021-11-27 21:05:00
CA Brive,1,50 %,30 %,13 %,69 %,25 %,3,0,3,0,13,10,8,0,2,22,124,2,25,33,61, 11,Stade Toulousain,2021-11-27 21:05:00
Racing 92,2,50 %,48 %,65 %,52 %,48 %,4,0,4,0,14,11,1,5,0,7,122,4,37,20,138,14 ,Union Bordeaux-Bègles,2021-11-28 21:05:00
Union Bordeaux-Bègles,5,50 %,52 %,35 %,48 %,52 %,10,1,7,2,12,9,1,1,2,6,103,7,41,28,180, 37,Racing 92,2021-11-28 21:05:00
ASM Clermont,6,50 %,61 %,71 %,39 %,61 %,6,0,6,0,18,16,4,6,1,12,111,10,25,18,125,39 ,Biarritz Olympique PB,2021-12-04 15:00:00
Biarritz Olympique PB,1,50 %,39 %,29 %,61 %,39 %,10,2,7,1,15,6,1,2,2,16,138,4,20,18,133, 11,ASM Clermont,2021-12-04 15:00:00
Castres Olympique,3,50 %,51 %,54 %,48 %,51 %,8,2,5,1,19,13,0,3,1,14,134,4,12,38,82,25 ,Racing 92,2021-12-04 15:00:00
Racing 92,0,50 %,49 %,46 %,52 %,49 %,7,0,6,1,15,14,3,5,1,11,85,5,21,37,106, 3,Castres Olympique,2021-12-04 15:00:00
LOU Rugby,5,50 %,55 %,55 %,45 %,58 %,3,0,3,0,14,9,2,5,2,8,90,5,12,34,218,41 ,CA Brive,2021-12-04 15:00:00
CA Brive,0,50 %,45 %,45 %,55 %,42 %,9,3,6,0,11,8,1,3,0,11,142,5,39,30,131, 0,LOU Rugby,2021-12-04 15:00:00
Montpellier Hérault Rugby,3,50 %,55 %,64 %,44 %,55 %,9,0,8,1,22,19,1,4,3,6,84,3,21,26,156,30 ,USA Perpignan,2021-12-04 15:00:00
USA Perpignan,0,50 %,45 %,36 %,56 %,45 %,8,1,7,0,9,6,0,3,2,12,111,2,25,18,95, 6,Montpellier Hérault Rugby,2021-12-04 15:00:00
Section Paloise,1,50 %,58 %,59 %,43 %,60 %,9,0,9,0,16,13,0,3,3,8,55,5,5,40,94,16 ,RC Toulon,2021-12-04 17:00:00
RC Toulon,1,50 %,42 %,41 %,57 %,40 %,9,1,7,1,13,11,1,3,3,11,99,2,14,44,55, 16,Section Paloise,2021-12-04 17:00:00
Union Bordeaux-Bègles,1,50 %,50 %,56 %,51 %,50 %,9,0,8,1,13,11,1,8,4,5,114,3,21,30,93,17 ,Stade Toulousain,2021-12-04 21:05:00
Stade Toulousain,1,50 %,50 %,44 %,49 %,50 %,14,2,10,2,14,10,1,3,0,10,78,2,12,21,154, 7,Union Bordeaux-Bègles,2021-12-04 21:05:00
Stade Français Paris,3,50 %,55 %,45 %,46 %,53 %,10,1,8,1,9,7,1,4,2,8,80,3,6,19,97,25 ,Stade Rochelais,2021-12-05 21:05:00
Stade Rochelais,3,50 %,45 %,55 %,54 %,47 %,10,3,6,1,13,9,1,3,1,13,121,3,21,18,79, 20,Stade Français Paris,2021-12-05 21:05:00
USA Perpignan,1,50 %,47 %,27 %,51 %,47 %,10,2,5,3,12,9,2,1,4,8,119,4,11,26,118,19 ,Castres Olympique,2021-12-26 18:00:00
Castres Olympique,2,50 %,53 %,73 %,49 %,53 %,5,0,4,1,10,7,3,2,2,11,119,5,20,29,97, 20,USA Perpignan,2021-12-26 18:00:00
