equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Stade Français Paris,3,39 %,51 %,51 %,46 %,53 %,10,1,6,3,17,11,0,6,1,6,156,5,19,16,76, 24,Castres Olympique,2025-10-18 16:35:00
Montpellier Hérault Rugby,5,44 %,49 %,55 %,50 %,50 %,6,1,3,2,13,11,1,7,2,11,149,10,14,24,119,35 ,LOU Rugby,2025-10-18 16:35:00
LOU Rugby,2,56 %,51 %,45 %,50 %,50 %,9,4,4,1,11,9,0,2,1,10,110,6,10,17,123, 13,Montpellier Hérault Rugby,2025-10-18 16:35:00
Stade Rochelais,8,50 %,54 %,55 %,45 %,54 %,7,2,4,1,12,11,2,5,0,15,106,11,13,21,152,54 ,US Montauban,2025-10-18 16:35:00
US Montauban,3,50 %,46 %,45 %,55 %,46 %,8,0,7,1,17,12,0,6,0,9,86,1,33,20,105, 19,Stade Rochelais,2025-10-18 16:35:00
USA Perpignan,2,56 %,47 %,53 %,53 %,47 %,11,2,7,2,19,9,1,5,0,8,59,7,19,23,166,12 ,Union Bordeaux-Bègles,2025-10-18 16:35:00
Union Bordeaux-Bègles,3,44 %,53 %,47 %,47 %,53 %,8,2,5,1,11,10,6,9,2,12,132,5,23,38,140, 27,USA Perpignan,2025-10-18 16:35:00
Section Paloise,3,48 %,53 %,59 %,46 %,53 %,6,0,5,1,14,15,1,2,3,10,135,11,20,31,107,30 ,Stade Toulousain,2025-10-18 21:00:00
Stade Toulousain,2,52 %,47 %,41 %,54 %,47 %,4,0,3,1,13,10,0,2,4,9,115,5,22,30,117, 26,Section Paloise,2025-10-18 21:00:00
RC Toulon,6,52 %,51 %,49 %,49 %,50 %,9,0,9,0,18,14,2,3,1,6,147,3,18,22,169,45 ,Racing 92,2025-10-19 21:05:00
