equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Montpellier Hérault Rugby,2,0.49,0.44,0.3,0.57,0.46,9,1,7,1,15,14,0,4,1,11,143,9,22,22,111, 13,Union Bordeaux-Bègles,2023-11-04 17:00:00,2023-2024,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,12.8,0.2,4.0,89.0,ST SULPICE DE POMMIERS
Union Bordeaux-Bègles,3,0.51,0.56,0.7,0.43,0.54,5,0,5,0,11,10,1,5,3,8,135,9,14,23,175,26 ,Montpellier Hérault Rugby,2023-11-04 17:00:00,2023-2024,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,12.8,0.2,4.0,89.0,ST SULPICE DE POMMIERS
RC Toulon,3,0.53,0.53,0.6,0.51,0.51,6,1,4,1,13,10,0,7,1,10,119,6,26,24,166, 22,USA Perpignan,2023-11-04 17:00:00,2023-2024,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,14.4,0.0,2.0,69.0,SERRALONGUE
LOU Rugby,1,0.48,0.45,0.29,0.55,0.45,13,2,8,3,13,12,0,2,5,7,120,15,20,37,136, 20,Racing 92,2023-11-04 21:05:00,2023-2024,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,11.1,1.0,4.9,87.0,LONGCHAMP (Proxy via Stade Français)
Racing 92,3,0.52,0.55,0.71,0.45,0.55,2,0,2,0,16,15,1,8,1,9,98,13,18,30,144,22 ,LOU Rugby,2023-11-04 21:05:00,2023-2024,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,11.1,1.0,4.9,87.0,LONGCHAMP (Proxy via Stade Français)
Stade Toulousain,0,0.5,0.41,0.16,0.57,0.41,8,2,4,2,11,9,2,4,3,9,135,9,15,34,95, 9,Section Paloise,2023-11-05 21:05:00,2023-2024,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,7.6,0.0,2.2,96.0,GER
Section Paloise,1,0.5,0.59,0.84,0.43,0.59,6,2,4,0,16,12,1,4,2,12,108,13,11,35,127,13 ,Stade Toulousain,2023-11-05 21:05:00,2023-2024,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,7.6,0.0,2.2,96.0,GER
Stade Toulousain,6,0.53,0.59,0.55,0.4,0.56,4,0,4,0,14,11,1,5,1,11,133,2,24,20,173,43 ,USA Perpignan,2023-11-11 15:00:00,2023-2024,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,13.5,0.0,1.2,75.0,MURET-LHERM
USA Perpignan,4,0.47,0.41,0.45,0.6,0.44,6,1,4,1,17,13,2,3,2,10,157,6,25,23,134, 34,Stade Toulousain,2023-11-11 15:00:00,2023-2024,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,13.5,0.0,1.2,75.0,MURET-LHERM
ASM Clermont,2,0.55,0.54,0.49,0.44,0.52,9,1,6,2,11,11,1,5,2,12,116,7,19,29,129, 20,Montpellier Hérault Rugby,2023-11-11 17:00:00,2023-2024,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,14.2,0.0,1.2,57.0,PEZENAS-TOURBES
LOU Rugby,2,0.53,0.45,0.6,0.56,0.45,8,2,4,2,15,12,0,3,6,13,65,1,10,20,105,32 ,Stade Français Paris,2023-11-11 17:00:00,2023-2024,LOU Rugby,Local,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,8.2,0.0,1.8,75.0,BRINDAS
Oyonnax Rugby,1,0.42,0.47,0.45,0.53,0.47,8,1,6,1,14,8,0,7,2,16,127,10,29,28,31, 11,Castres Olympique,2023-11-11 17:00:00,2023-2024,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,8.8,0.0,0.6,88.0,MONTREDON-LABESSONNIE
Union Bordeaux-Bègles,1,0.49,0.54,0.53,0.45,0.53,2,0,2,0,15,11,1,8,2,10,141,12,11,27,129, 11,Section Paloise,2023-11-11 17:00:00,2023-2024,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,14.3,1.8,5.1,95.0,GER
Castres Olympique,5,0.58,0.53,0.55,0.47,0.53,8,3,4,1,11,11,4,8,2,12,72,7,5,29,98,39 ,Oyonnax Rugby,2023-11-11 17:00:00,2023-2024,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,8.8,0.0,0.6,88.0,MONTREDON-LABESSONNIE
Montpellier Hérault Rugby,2,0.45,0.46,0.51,0.56,0.48,7,0,6,1,11,9,0,4,1,11,157,7,24,20,111,17 ,ASM Clermont,2023-11-11 17:00:00,2023-2024,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,14.2,0.0,1.2,57.0,PEZENAS-TOURBES
Stade Français Paris,3,0.47,0.55,0.4,0.44,0.55,6,2,3,1,14,13,0,6,5,19,93,11,17,22,78, 36,LOU Rugby,2023-11-11 17:00:00,2023-2024,LOU Rugby,Visitante,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,8.2,0.0,1.8,75.0,BRINDAS
Section Paloise,2,0.51,0.46,0.47,0.55,0.47,10,0,8,2,19,16,2,4,2,5,134,8,28,35,120,20 ,Union Bordeaux-Bègles,2023-11-11 17:00:00,2023-2024,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,14.3,1.8,5.1,95.0,GER
Stade Rochelais,0,0.57,0.55,0.66,0.44,0.55,12,2,10,0,18,13,0,6,6,11,69,4,18,33,105,18 ,Aviron Bayonnais,2023-11-11 21:05:00,2023-2024,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,10.5,3.2,4.7,96.0,NUAILLE SUR BOUTONNE
Aviron Bayonnais,0,0.43,0.45,0.34,0.56,0.45,5,1,4,0,14,12,5,7,4,15,114,1,5,29,74, 15,Stade Rochelais,2023-11-11 21:05:00,2023-2024,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,10.5,3.2,4.7,96.0,NUAILLE SUR BOUTONNE
RC Toulon,4,0.51,0.47,0.51,0.55,0.47,8,0,8,0,12,8,2,2,3,10,162,14,36,26,143,31 ,Racing 92,2023-11-12 21:05:00,2023-2024,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,12.4,0.0,1.9,78.0,LE CASTELLET-AERO
Racing 92,4,0.49,0.53,0.49,0.45,0.53,3,1,2,0,13,9,2,6,0,9,143,8,24,18,150, 26,RC Toulon,2023-11-12 21:05:00,2023-2024,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,12.4,0.0,1.9,78.0,LE CASTELLET-AERO
Racing 92,1,0.51,0.47,0.61,0.54,0.47,10,1,7,2,11,8,3,13,2,10,104,9,12,25,105, 13,Stade Français Paris,2023-11-18 15:00:00,2023-2024,Stade Français Paris,Visitante,Ganador,Stade Jean-Bouin,Paris,Paris,12.5,3.0,4.1,94.0,LONGCHAMP
Stade Français Paris,0,0.49,0.53,0.39,0.46,0.53,15,2,11,2,13,8,1,8,3,6,141,17,18,25,57,9 ,Racing 92,2023-11-18 15:00:00,2023-2024,Stade Français Paris,Local,Perdedor,Stade Jean-Bouin,Paris,Paris,12.5,3.0,4.1,94.0,LONGCHAMP
Section Paloise,1,0.45,0.42,0.28,0.58,0.43,7,0,5,2,16,14,1,6,3,14,148,8,18,23,131, 16,Aviron Bayonnais,2023-11-18 17:00:00,2023-2024,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,14.3,0.0,0.9,61.0,GER
Aviron Bayonnais,4,0.55,0.58,0.72,0.42,0.57,6,1,4,1,14,12,1,3,3,11,121,4,16,26,113,32 ,Section Paloise,2023-11-18 17:00:00,2023-2024,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,14.3,0.0,0.9,61.0,GER
USA Perpignan,2,0.53,0.46,0.62,0.53,0.46,4,1,3,0,16,14,0,6,3,11,107,10,10,33,122,23 ,Montpellier Hérault Rugby,2023-11-18 17:00:00,2023-2024,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,14.4,0.0,1.6,63.0,SERRALONGUE
Montpellier Hérault Rugby,1,0.47,0.54,0.38,0.47,0.54,9,2,5,2,13,11,2,2,3,16,102,12,17,35,94, 16,USA Perpignan,2023-11-18 17:00:00,2023-2024,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,14.4,0.0,1.6,63.0,SERRALONGUE
LOU Rugby,3,0.49,0.44,0.35,0.57,0.45,2,0,2,0,16,14,1,5,1,13,160,16,18,22,151, 20,Oyonnax Rugby,2023-11-18 17:00:00,2023-2024,Oyonnax Rugby,Visitante,Perdedor,Stade Charles-Mathon,Oyonnax,Ain,8.4,0.0,0.9,82.0,AMBERIEU
RC Toulon,3,0.41,0.49,0.45,0.5,0.51,6,0,5,1,16,10,0,2,3,10,170,18,32,28,104, 30,ASM Clermont,2023-11-18 17:00:00,2023-2024,ASM Clermont,Visitante,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,7.6,0.0,11.1,63.0,SUPERBESSE
ASM Clermont,3,0.59,0.51,0.55,0.5,0.49,5,0,5,0,12,12,2,3,2,13,86,10,18,23,153,27 ,RC Toulon,2023-11-18 17:00:00,2023-2024,ASM Clermont,Local,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,7.6,0.0,11.1,63.0,SUPERBESSE
Oyonnax Rugby,4,0.51,0.56,0.65,0.43,0.55,7,1,6,0,15,12,1,2,4,14,130,17,16,29,104,38 ,LOU Rugby,2023-11-18 17:00:00,2023-2024,Oyonnax Rugby,Local,Ganador,Stade Charles-Mathon,Oyonnax,Ain,8.4,0.0,0.9,82.0,AMBERIEU
Stade Toulousain,2,0.51,0.48,0.39,0.52,0.48,4,1,3,0,18,15,0,9,3,9,115,14,19,30,116, 23,Castres Olympique,2023-11-18 21:05:00,2023-2024,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,14.8,0.0,0.7,14.0,MONTREDON-LABESSONNIE
Castres Olympique,4,0.49,0.52,0.61,0.48,0.52,5,1,4,0,17,11,2,3,1,14,132,8,24,36,87,31 ,Stade Toulousain,2023-11-18 21:05:00,2023-2024,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,14.8,0.0,0.7,14.0,MONTREDON-LABESSONNIE
Union Bordeaux-Bègles,2,0.43,0.51,0.41,0.5,0.5,9,1,7,1,12,8,1,3,3,12,88,14,13,45,99, 21,Stade Rochelais,2023-11-19 21:05:00,2023-2024,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,11.1,0.0,0.5,96.0,NUAILLE SUR BOUTONNE
Stade Rochelais,3,0.57,0.49,0.59,0.5,0.5,5,0,5,0,23,18,2,6,2,8,67,9,12,43,81,25 ,Union Bordeaux-Bègles,2023-11-19 21:05:00,2023-2024,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,11.1,0.0,0.5,96.0,NUAILLE SUR BOUTONNE
RC Toulon,4,0.55,0.53,0.46,0.47,0.53,11,2,9,0,11,10,4,1,5,8,96,4,20,29,138,41 ,Castres Olympique,2023-11-25 15:00:00,2023-2024,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,7.4,0.0,9.2,40.0,LE CASTELLET-AERO
Castres Olympique,3,0.45,0.47,0.54,0.53,0.47,4,0,2,2,14,5,0,4,0,13,110,3,31,15,91, 19,RC Toulon,2023-11-25 15:00:00,2023-2024,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,7.4,0.0,9.2,40.0,LE CASTELLET-AERO
Oyonnax Rugby,4,0.41,0.53,0.46,0.44,0.54,8,1,7,0,11,6,1,1,0,12,178,13,26,33,102, 26,Montpellier Hérault Rugby,2023-11-25 17:00:00,2023-2024,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,8.6,0.0,5.2,40.0,PEZENAS-TOURBES
Aviron Bayonnais,4,0.5,0.57,0.62,0.42,0.55,2,0,2,0,15,14,1,4,1,10,158,3,33,25,171, 29,LOU Rugby,2023-11-25 17:00:00,2023-2024,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,2.8,0.0,3.1,79.0,BRINDAS
Montpellier Hérault Rugby,3,0.59,0.47,0.54,0.56,0.46,10,0,7,3,9,8,4,7,0,7,110,14,17,25,158,21 ,Oyonnax Rugby,2023-11-25 17:00:00,2023-2024,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,8.6,0.0,5.2,40.0,PEZENAS-TOURBES
LOU Rugby,5,0.5,0.43,0.38,0.58,0.45,4,0,4,0,18,16,1,3,2,13,210,16,28,36,149,42 ,Aviron Bayonnais,2023-11-25 17:00:00,2023-2024,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,2.8,0.0,3.1,79.0,BRINDAS
Section Paloise,3,0.46,0.44,0.41,0.57,0.46,6,1,3,2,16,15,0,3,3,9,196,8,15,26,162,30 ,Stade Français Paris,2023-11-25 17:00:00,2023-2024,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,5.9,0.0,1.2,90.0,GER
Stade Français Paris,0,0.54,0.56,0.59,0.43,0.54,6,2,3,1,15,14,0,3,1,9,133,8,11,21,196, 6,Section Paloise,2023-11-25 17:00:00,2023-2024,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,5.9,0.0,1.2,90.0,GER
USA Perpignan,4,0.52,0.49,0.42,0.51,0.48,10,2,5,3,14,11,0,3,0,9,106,8,33,22,174, 22,Union Bordeaux-Bègles,2023-11-25 17:00:00,2023-2024,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,5.5,0.0,2.2,67.0,ST SULPICE DE POMMIERS
Union Bordeaux-Bègles,7,0.48,0.51,0.58,0.49,0.52,3,1,2,0,15,14,3,3,1,10,161,4,30,28,171,46 ,USA Perpignan,2023-11-25 17:00:00,2023-2024,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,5.5,0.0,2.2,67.0,ST SULPICE DE POMMIERS
ASM Clermont,1,0.46,0.47,0.49,0.53,0.48,10,1,6,3,15,12,3,6,1,10,164,16,26,35,126, 10,Stade Toulousain,2023-11-25 21:05:00,2023-2024,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,-0.3,0.0,1.2,94.0,MURET-LHERM
Stade Toulousain,4,0.54,0.53,0.51,0.47,0.52,4,0,4,0,18,14,1,6,1,6,140,19,10,32,202,31 ,ASM Clermont,2023-11-25 21:05:00,2023-2024,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,-0.3,0.0,1.2,94.0,MURET-LHERM
Stade Rochelais,1,0.56,0.57,0.65,0.44,0.58,7,0,5,2,22,16,0,4,1,11,69,7,21,21,136, 10,Racing 92,2023-11-26 21:05:00,2023-2024,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,5.3,0.0,2.7,75.0,LONGCHAMP (Proxy via Stade Français)
Racing 92,4,0.44,0.43,0.35,0.56,0.42,6,0,4,2,12,12,6,4,2,17,124,5,21,34,103,32 ,Stade Rochelais,2023-11-26 21:05:00,2023-2024,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,5.3,0.0,2.7,75.0,LONGCHAMP (Proxy via Stade Français)
Section Paloise,2,0.52,0.6,0.43,0.38,0.58,6,2,4,0,14,10,1,5,1,14,93,8,20,17,158, 13,RC Toulon,2023-12-02 15:00:00,2023-2024,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,4.1,0.0,12.2,49.0,LE CASTELLET-AERO
RC Toulon,5,0.48,0.4,0.57,0.62,0.42,14,3,9,2,20,16,1,4,1,13,157,22,24,24,96,36 ,Section Paloise,2023-12-02 15:00:00,2023-2024,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,4.1,0.0,12.2,49.0,LE CASTELLET-AERO
Oyonnax Rugby,2,0.57,0.55,0.75,0.45,0.55,3,0,3,0,14,11,3,3,3,8,104,12,6,37,93,23 ,Union Bordeaux-Bègles,2023-12-02 17:00:00,2023-2024,Oyonnax Rugby,Local,Perdedor,Stade Charles-Mathon,Oyonnax,Ain,-0.6,0.0,4.6,85.0,AMBERIEU
LOU Rugby,1,0.53,0.56,0.54,0.43,0.55,10,2,8,0,11,8,3,5,2,9,99,4,30,30,135, 14,Castres Olympique,2023-12-02 17:00:00,2023-2024,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,1.1,0.0,4.6,84.0,MONTREDON-LABESSONNIE
Aviron Bayonnais,4,0.59,0.55,0.47,0.44,0.52,9,2,6,1,14,13,4,5,2,7,120,5,15,25,199,34 ,Montpellier Hérault Rugby,2023-12-02 17:00:00,2023-2024,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,5.2,0.0,1.9,90.0,GER
Union Bordeaux-Bègles,4,0.43,0.45,0.25,0.55,0.45,4,0,4,0,12,7,2,3,1,12,131,11,21,34,117, 29,Oyonnax Rugby,2023-12-02 17:00:00,2023-2024,Oyonnax Rugby,Visitante,Ganador,Stade Charles-Mathon,Oyonnax,Ain,-0.6,0.0,4.6,85.0,AMBERIEU
Stade Rochelais,5,0.56,0.52,0.52,0.48,0.51,8,0,7,1,15,10,2,3,0,13,111,17,21,33,154,35 ,USA Perpignan,2023-12-02 17:00:00,2023-2024,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,0.3,0.0,1.1,89.0,NUAILLE SUR BOUTONNE
Castres Olympique,4,0.47,0.44,0.46,0.57,0.45,8,2,4,2,12,8,1,10,1,9,152,9,21,27,135,29 ,LOU Rugby,2023-12-02 17:00:00,2023-2024,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,1.1,0.0,4.6,84.0,MONTREDON-LABESSONNIE
Montpellier Hérault Rugby,3,0.41,0.45,0.53,0.56,0.48,5,0,4,1,12,6,0,8,0,12,194,22,26,27,107, 19,Aviron Bayonnais,2023-12-02 17:00:00,2023-2024,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,5.2,0.0,1.9,90.0,GER
USA Perpignan,0,0.44,0.48,0.48,0.52,0.49,5,2,3,0,19,14,1,5,2,11,154,9,22,21,144, 6,Stade Rochelais,2023-12-02 17:00:00,2023-2024,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,0.3,0.0,1.1,89.0,NUAILLE SUR BOUTONNE
ASM Clermont,2,0.5,0.52,0.27,0.47,0.52,5,0,5,0,19,11,2,3,3,14,143,11,27,32,155,23 ,Racing 92,2023-12-02 21:05:00,2023-2024,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,-11.1,0.0,1.3,90.0,SUPERBESSE
Racing 92,2,0.5,0.48,0.73,0.53,0.48,5,1,4,0,16,11,5,4,2,12,122,3,9,29,127, 18,ASM Clermont,2023-12-02 21:05:00,2023-2024,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,-11.1,0.0,1.3,90.0,SUPERBESSE
Stade Français Paris,3,0.42,0.53,0.3,0.44,0.54,10,1,7,2,7,6,1,3,2,13,189,17,27,26,91,27 ,Stade Toulousain,2023-12-03 21:05:00,2023-2024,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,3.1,0.0,3.0,62.0,LONGCHAMP
Stade Toulousain,2,0.58,0.47,0.7,0.56,0.46,6,2,3,1,14,13,0,6,0,7,97,9,26,10,204, 12,Stade Français Paris,2023-12-03 21:05:00,2023-2024,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,3.1,0.0,3.0,62.0,LONGCHAMP
Aviron Bayonnais,1,0.55,0.43,0.34,0.56,0.42,7,0,6,1,12,10,5,6,1,12,110,6,22,13,192, 10,USA Perpignan,2023-12-22 19:00:00,2023-2024,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,11.5,0.0,2.5,44.0,SERRALONGUE
USA Perpignan,6,0.45,0.57,0.66,0.44,0.58,8,0,6,2,20,11,0,5,0,12,147,11,30,13,117,36 ,Aviron Bayonnais,2023-12-22 19:00:00,2023-2024,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,11.5,0.0,2.5,44.0,SERRALONGUE
LOU Rugby,1,0.45,0.38,0.16,0.64,0.4,8,0,8,0,14,11,1,7,1,10,88,2,22,24,97, 10,Union Bordeaux-Bègles,2023-12-22 21:00:00,2023-2024,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,9.9,0.2,2.8,98.0,ST SULPICE DE POMMIERS
Union Bordeaux-Bègles,6,0.55,0.62,0.84,0.36,0.6,15,1,11,3,15,9,1,7,2,5,95,8,10,29,158,46 ,LOU Rugby,2023-12-22 21:00:00,2023-2024,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,9.9,0.2,2.8,98.0,ST SULPICE DE POMMIERS
Castres Olympique,2,0.6,0.51,0.44,0.49,0.51,4,0,3,1,17,17,3,4,3,7,80,7,21,24,157, 21,Montpellier Hérault Rugby,2023-12-23 14:00:00,2023-2024,Montpellier Hérault Rugby,Visitante,Perdedor,Septeo Stadium,Montpellier,Hérault,15.4,0.0,5.1,48.0,PEZENAS-TOURBES
Montpellier Hérault Rugby,3,0.4,0.49,0.56,0.51,0.49,7,1,5,1,12,8,0,4,3,16,133,4,26,29,95,30 ,Castres Olympique,2023-12-23 14:00:00,2023-2024,Montpellier Hérault Rugby,Local,Ganador,Septeo Stadium,Montpellier,Hérault,15.4,0.0,5.1,48.0,PEZENAS-TOURBES
Oyonnax Rugby,1,0.47,0.45,0.44,0.55,0.46,9,2,7,0,10,6,1,4,1,13,146,14,22,24,105, 10,Racing 92,2023-12-23 14:00:00,2023-2024,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,12.1,0.0,4.9,78.0,LONGCHAMP (Proxy via Stade Français)
Racing 92,10,0.53,0.55,0.56,0.45,0.54,6,1,5,0,17,15,3,9,0,5,105,10,8,23,166,66 ,Oyonnax Rugby,2023-12-23 14:00:00,2023-2024,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,12.1,0.0,4.9,78.0,LONGCHAMP (Proxy via Stade Français)
Section Paloise,3,0.5,0.48,0.52,0.52,0.48,7,0,6,1,12,9,2,7,1,10,128,9,14,39,120,22 ,ASM Clermont,2023-12-23 16:00:00,2023-2024,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,11.2,0.0,1.3,75.0,GER
ASM Clermont,1,0.5,0.52,0.48,0.48,0.52,8,2,6,0,16,14,3,2,2,10,112,14,27,32,121, 11,Section Paloise,2023-12-23 16:00:00,2023-2024,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,11.2,0.0,1.3,75.0,GER
Stade Français Paris,2,0.43,0.46,0.52,0.53,0.46,10,3,6,1,14,12,0,3,2,14,117,11,21,36,97,18 ,Stade Rochelais,2023-12-23 18:00:00,2023-2024,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,11.9,0.0,3.9,70.0,LONGCHAMP
Stade Rochelais,1,0.57,0.54,0.48,0.47,0.54,9,2,7,0,14,11,1,6,2,7,52,8,14,33,135, 13,Stade Français Paris,2023-12-23 18:00:00,2023-2024,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,11.9,0.0,3.9,70.0,LONGCHAMP
Stade Toulousain,3,0.53,0.54,0.54,0.43,0.52,10,0,7,3,18,11,0,5,2,7,94,0,26,28,102,25 ,RC Toulon,2023-12-23 21:05:00,2023-2024,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,9.6,0.0,1.9,92.0,MURET-LHERM
RC Toulon,2,0.47,0.46,0.46,0.57,0.48,10,3,5,2,13,12,3,6,1,11,109,5,22,28,95, 17,Stade Toulousain,2023-12-23 21:05:00,2023-2024,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,9.6,0.0,1.9,92.0,MURET-LHERM
Oyonnax Rugby,3,0.52,0.53,0.59,0.45,0.53,5,1,4,0,16,11,2,3,5,16,168,16,12,29,127,34 ,Section Paloise,2023-12-29 19:00:00,2023-2024,Oyonnax Rugby,Local,Ganador,Stade Charles-Mathon,Oyonnax,Ain,10.5,0.0,2.8,79.0,AMBERIEU
Section Paloise,1,0.48,0.47,0.41,0.55,0.47,3,1,2,0,14,11,2,6,2,11,142,21,21,22,131, 13,Oyonnax Rugby,2023-12-29 19:00:00,2023-2024,Oyonnax Rugby,Visitante,Perdedor,Stade Charles-Mathon,Oyonnax,Ain,10.5,0.0,2.8,79.0,AMBERIEU
ASM Clermont,4,0.6,0.53,0.58,0.46,0.52,6,0,6,0,14,11,0,5,3,8,90,8,26,24,149,35 ,Union Bordeaux-Bègles,2023-12-29 21:00:00,2023-2024,ASM Clermont,Local,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,3.7,0.0,9.0,100.0,SUPERBESSE
Union Bordeaux-Bègles,4,0.4,0.47,0.42,0.54,0.48,5,1,3,1,6,5,0,1,4,15,143,4,23,25,89, 40,ASM Clermont,2023-12-29 21:00:00,2023-2024,ASM Clermont,Visitante,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,3.7,0.0,9.0,100.0,SUPERBESSE
LOU Rugby,2,0.5,0.54,0.32,0.46,0.54,5,1,4,0,16,13,1,7,2,10,156,14,17,28,173,20 ,Montpellier Hérault Rugby,2023-12-30 14:00:00,2023-2024,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,12.3,0.0,1.5,70.0,BRINDAS
Montpellier Hérault Rugby,2,0.5,0.46,0.68,0.54,0.46,6,2,4,0,18,17,2,3,2,10,166,9,23,27,130, 18,LOU Rugby,2023-12-30 14:00:00,2023-2024,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,12.3,0.0,1.5,70.0,BRINDAS
