equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
RC Toulon,1,0.52,0.46,0.53,0.57,0.46,8,1,6,1,20,19,2,4,1,13,141,12,17,23,146, 10,Aviron Bayonnais,2025-06-07 21:05:00,2024-2025,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,16.5,0.0,2.2,85.0,GER
Aviron Bayonnais,2,0.48,0.54,0.47,0.43,0.54,4,1,3,0,14,10,0,5,2,15,147,12,34,21,118,18 ,RC Toulon,2025-06-07 21:05:00,2024-2025,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,16.5,0.0,2.2,85.0,GER
USA Perpignan,6,0.54,0.51,0.6,0.49,0.5,7,1,5,1,16,13,2,9,0,10,115,13,29,16,158,42 ,Stade Toulousain,2025-06-07 21:05:00,2024-2025,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,15.6,0.0,0.5,92.0,SERRALONGUE
RC Vannes,4,0.53,0.55,0.47,0.43,0.53,8,1,7,0,13,10,2,6,0,17,108,9,24,23,200, 28,Union Bordeaux-Bègles,2025-06-07 21:05:00,2024-2025,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,16.6,0.0,3.0,79.0,ST SULPICE DE POMMIERS
Castres Olympique,1,0.45,0.3,0.04,0.7,0.31,9,0,9,0,12,9,2,12,1,15,94,4,16,30,72, 10,Stade Français Paris,2025-06-07 21:05:00,2024-2025,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,15.3,0.4,2.9,89.0,LONGCHAMP
Union Bordeaux-Bègles,9,0.47,0.45,0.53,0.57,0.47,4,1,3,0,20,18,2,10,0,11,155,6,25,26,130,59 ,RC Vannes,2025-06-07 21:05:00,2024-2025,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,16.6,0.0,3.0,79.0,ST SULPICE DE POMMIERS
Stade Rochelais,2,0.48,0.46,0.55,0.54,0.47,6,1,2,3,13,11,0,6,2,11,131,7,16,20,140, 18,Section Paloise,2025-06-07 21:05:00,2024-2025,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,16.5,0.0,2.2,85.0,GER
LOU Rugby,5,0.47,0.51,0.66,0.48,0.51,1,0,1,0,19,14,2,6,1,6,152,8,31,36,121,34 ,Racing 92,2025-06-07 21:05:00,2024-2025,LOU Rugby,Local,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,18.0,0.0,1.2,66.0,BRINDAS
Section Paloise,4,0.52,0.54,0.45,0.46,0.53,10,0,9,1,16,16,0,4,2,9,148,14,14,27,120,32 ,Stade Rochelais,2025-06-07 21:05:00,2024-2025,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,16.5,0.0,2.2,85.0,GER
Montpellier Hérault Rugby,1,0.46,0.37,0.39,0.64,0.37,9,2,5,2,14,10,1,9,1,10,145,12,27,32,132,10 ,ASM Clermont,2025-06-07 21:05:00,2024-2025,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,22.0,0.0,4.9,59.0,PEZENAS-TOURBES
ASM Clermont,2,0.54,0.63,0.61,0.36,0.63,7,1,5,1,14,10,1,8,3,6,117,8,30,36,145, 23,Montpellier Hérault Rugby,2025-06-07 21:05:00,2024-2025,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,22.0,0.0,4.9,59.0,PEZENAS-TOURBES
Racing 92,6,0.53,0.49,0.34,0.52,0.49,6,0,6,0,15,13,2,4,3,8,121,8,21,35,160, 47,LOU Rugby,2025-06-07 21:05:00,2024-2025,LOU Rugby,Visitante,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,18.0,0.0,1.2,66.0,BRINDAS
Stade Français Paris,2,0.55,0.7,0.96,0.3,0.69,14,3,10,1,11,8,1,6,2,9,67,8,8,37,89,21 ,Castres Olympique,2025-06-07 21:05:00,2024-2025,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,15.3,0.4,2.9,89.0,LONGCHAMP
Aviron Bayonnais,1,0.67,0.72,0.86,0.29,0.77,13,0,10,3,19,12,2,5,4,7,41,7,8,32,117,20 ,ASM Clermont,2025-06-13 21:05:00,2024-2025,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,20.3,0.0,3.2,86.0,GER
ASM Clermont,0,0.33,0.28,0.14,0.71,0.23,6,1,5,0,14,9,3,8,1,15,130,14,24,27,29, 3,Aviron Bayonnais,2025-06-13 21:05:00,2024-2025,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,20.3,0.0,3.2,86.0,GER
FC Grenoble Rugby,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11 ,USA Perpignan,2025-06-14 18:00:00,2024-2025,FC Grenoble Rugby,Local,Perdedor,Stade des Alpes,Grenoble,Isère,25.9,0.0,1.8,47.0,VILLARD-DE-LANS
USA Perpignan,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0, 13,FC Grenoble Rugby,2025-06-14 18:00:00,2024-2025,FC Grenoble Rugby,Visitante,Ganador,Stade des Alpes,Grenoble,Isère,25.9,0.0,1.8,47.0,VILLARD-DE-LANS
RC Toulon,6,0.57,0.6,0.69,0.39,0.59,9,1,7,1,15,11,0,5,4,5,92,11,25,28,116,52 ,Castres Olympique,2025-06-14 21:05:00,2024-2025,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,23.6,0.0,0.7,35.0,LE CASTELLET-AERO
Castres Olympique,2,0.43,0.4,0.31,0.61,0.41,5,1,4,0,9,7,1,6,3,13,121,12,33,28,75, 23,RC Toulon,2025-06-14 21:05:00,2024-2025,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,23.6,0.0,0.7,35.0,LE CASTELLET-AERO
